TestId	Label	PrefKey	Value	Lens	Saved	Dims	Luma	RG	BG	Noise	Sharp	Verdict
REF0	REF (no-op rewrite saturn=true)	camera.enable_saturn	true	56	True	3060x4080	9.9/1.018/0.876/4.345/7.356	VERDICT: PASS (color ok; noise/sharp not degraded)
A1	verify SABRE_ALLOWED present (already true in best.agc - device may lack it)	SABRE_ALLOWED	true	56	True	3060x4080	10.1/1.018/0.875/4.516/7.912	VERDICT: PASS (color ok; noise/sharp not degraded)
A5	HDR+ burst includes ultra-short frames (highlight roll-off)	camera.include_ultra_short_frame	true	56	True	3060x4080	10.2/1.023/0.868/4.531/8.021	VERDICT: PASS (color ok; noise/sharp not degraded)
A6	extended base-frame selection (non-ZSL)	camera.nonzsl_extended_base_frame_selection	true	56	True	3060x4080	10.1/1.023/0.876/4.613/8.2	VERDICT: PASS (color ok; noise/sharp not degraded)
A2	force shasta merge path	camera.shasta.force	true	56	True	3060x4080	9.9/1.034/0.845/4.465/7.716	VERDICT: PASS (color ok; noise/sharp not degraded)
A4	force spatial RGB merge	camera.spatial_rgb_force	true	56	True	3060x4080	10.5/1.025/0.855/4.585/7.959	VERDICT: PASS (color ok; noise/sharp not degraded)
RVA4	revert A4	camera.spatial_rgb_force	false	56	True	3060x4080	10.2/1.021/0.866/4.616/8.189	VERDICT: PASS (color ok; noise/sharp not degraded)
A8	ZSL ring buffer 8 frames (default ~6)	gcam.zsl_buffer_size	8	56	True	3060x4080	10.5/1.011/0.886/4.578/7.899	VERDICT: PASS (color ok; noise/sharp not degraded)
A9	sabre burst 15 frames	gcam.sabre_burst_size	15	56	True	3060x4080	10.7/1.023/0.859/4.769/8.471	VERDICT: PASS (color ok; noise/sharp not degraded)
A21	reserve memory for HDR merge (OOM guard)	camera.hdr_memory_reserve	true	56	True	3060x4080	10.2/1.022/0.865/4.61/8.195	VERDICT: PASS (color ok; noise/sharp not degraded)
A18a	HDR+ WB source = 1 (A/B 0/1/2)	gcam.hdrplus_wb_source	1	56	True	3060x4080	10.4/1.023/0.874/4.674/8.313	VERDICT: PASS (color ok; noise/sharp not degraded)
A18b	HDR+ WB source = 2	gcam.hdrplus_wb_source	2	56	True	3060x4080	10.5/1.021/0.874/4.708/8.338	VERDICT: PASS (color ok; noise/sharp not degraded)
RVA18b	wb_source back to 1 (keeper)	gcam.hdrplus_wb_source	1	56	True	3060x4080	10.5/1.02/0.869/4.709/8.317	VERDICT: PASS (color ok; noise/sharp not degraded)
A20	parallel merge+finish (latency)	gcam.eager_simultaneous_merge_and_finish	true	56	True	3060x4080	10.5/1.033/0.857/4.71/8.412	VERDICT: PASS (color ok; noise/sharp not degraded)
B1a	merge algo: sabre (vs spatial rgb 3)	lib_hardmerge_key_p0_0	1	56	True	3060x4080		MEASURE_INCOMPLETE
RVB1a	revert B1a	lib_hardmerge_key_p0_0	3	56	True	3060x4080	9.7/1.01/0.857/4.524/8.026	VERDICT: FAIL (color shifted >10%)
B1b	merge algo: spatial bayer	lib_hardmerge_key_p0_0	2	56	True	3060x4080	10.3/1.035/0.865/4.316/7.307	VERDICT: PASS (color ok; noise/sharp not degraded)
RVB1b	revert B1b	lib_hardmerge_key_p0_0	1	56	True	3060x4080		MEASURE_INCOMPLETE
FIXB1	restore hardmerge=3 (true original)	lib_hardmerge_key_p0_0	3	56	True	3060x4080	11.4/1.03/0.865/4.779/8.476	VERDICT: FAIL (color shifted >10%)
B6a	volume processing 1: 29.0 (JavaSaBr value)	lib_volume_processing_key_p0_0	29.0	56	True	3060x4080	12/1.03/0.874/4.754/8.39	VERDICT: PASS (color ok; noise/sharp not degraded)
B6b	volume processing 1: 25.0 (midpoint)	lib_volume_processing_key_p0_0	25.0	56	True	3060x4080	11/1.029/0.883/4.598/8.134	VERDICT: PASS (color ok; noise/sharp not degraded)
RVB6b	volume back to 29.0 (keeper)	lib_volume_processing_key_p0_0	29.0	56	True	3060x4080	11/1.024/0.87/4.631/8.258	VERDICT: PASS (color ok; noise/sharp not degraded)
